director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,comb
Joe Johnston,Drama Fantasy Horror Thriller,Anthony Hopkins,Simon Merrells,Art Malik,the wolfman,Anthony Hopkins Simon Merrells Art Malik Joe Johnston Drama Fantasy Horror Thriller
David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,the legend of tarzan,Christoph Waltz Alexander Skarsgård Casper Crump David Yates Action Adventure Drama Romance
Steve Hickner,Adventure Animation Comedy Family,Matthew Broderick,Oprah Winfrey,Rip Torn,bee movie,Matthew Broderick Oprah Winfrey Rip Torn Steve Hickner Adventure Animation Comedy Family
Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Gary Oldman,Mike Bell,kung fu panda 2,Angelina Jolie Pitt Gary Oldman Mike Bell Jennifer Yuh Nelson Action Adventure Animation Comedy Family
M. Night Shyamalan,Action Adventure Family Fantasy,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,the last airbender,Seychelle Gabriel Noah Ringer Aasif Mandvi M. Night Shyamalan Action Adventure Family Fantasy
J.J. Abrams,Action Adventure Thriller,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,mission: impossible iii,Philip Seymour Hoffman Tom Cruise Eddie Marsan J.J. Abrams Action Adventure Thriller
Roland Emmerich,Action Drama Thriller,Channing Tatum,Jake Weber,Matt Craven,white house down,Channing Tatum Jake Weber Matt Craven Roland Emmerich Action Drama Thriller
Simon Wells,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,mars needs moms,Elisabeth Harnois Dan Fogler Tom Everett Scott Simon Wells Action Adventure Animation Comedy Family Sci-Fi
David Bowers,Adventure Animation Comedy Family,Hugh Jackman,Kate Winslet,David Suchet,flushed away,Hugh Jackman Kate Winslet David Suchet David Bowers Adventure Animation Comedy Family
Joe Wright,Adventure Family Fantasy,Hugh Jackman,Cara Delevingne,Nonso Anozie,pan,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,Zach Callison,Karan Brar,mr. peabody & sherman,Ty Burrell Zach Callison Karan Brar Rob Minkoff Adventure Animation Comedy Family Sci-Fi
Wolfgang Petersen,Adventure,Brad Pitt,Orlando Bloom,Julian Glover,troy,Brad Pitt Orlando Bloom Julian Glover Wolfgang Petersen Adventure
Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,madagascar 3: europe's most wanted,Jada Pinkett Smith Martin Short Cedric the Entertainer Eric Darnell Adventure Animation Comedy Family
Lee Tamahori,Action Adventure Thriller,Toby Stephens,Colin Salmon,Rick Yune,die another day,Toby Stephens Colin Salmon Rick Yune Lee Tamahori Action Adventure Thriller
Paul Feig,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,Kate McKinnon,Zach Woods,ghostbusters,Ed Begley Jr. Kate McKinnon Zach Woods Paul Feig Action Comedy Fantasy Sci-Fi
Michael Bay,Action Adventure Sci-Fi Thriller,Bruce Willis,Steve Buscemi,Will Patton,armageddon,Bruce Willis Steve Buscemi Will Patton Michael Bay Action Adventure Sci-Fi Thriller
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,Rosario Dawson,Rip Torn,men in black ii,Will Smith Rosario Dawson Rip Torn Barry Sonnenfeld Action Adventure Comedy Family Fantasy Mystery Sci-Fi
Robert Zemeckis,Action Adventure Animation Fantasy,Robin Wright,Anthony Hopkins,Sebastian Roché,beowulf,Robin Wright Anthony Hopkins Sebastian Roché Robert Zemeckis Action Adventure Animation Fantasy
Alessandro Carloni,Action Adventure Animation Comedy Family,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight,kung fu panda 3,J.K. Simmons Angelina Jolie Pitt Wayne Knight Alessandro Carloni Action Adventure Animation Comedy Family
Brad Bird,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Michael Nyqvist,mission: impossible - ghost protocol,Tom Cruise Jeremy Renner Michael Nyqvist Brad Bird Action Adventure Thriller
Peter Ramsey,Adventure Animation Family Fantasy,Hugh Jackman,Kamil McFadden,Khamani Griffin,rise of the guardians,Hugh Jackman Kamil McFadden Khamani Griffin Peter Ramsey Adventure Animation Family Fantasy
Dean Parisot,Comedy Crime,John Michael Higgins,Richard Burgi,David Herman,fun with dick and jane,John Michael Higgins Richard Burgi David Herman Dean Parisot Comedy Crime
Edward Zwick,Action Drama History War,Tom Cruise,Tony Goldwyn,Chad Lindberg,the last samurai,Tom Cruise Tony Goldwyn Chad Lindberg Edward Zwick Action Drama History War
Ridley Scott,Action Adventure Drama,Christian Bale,María Valverde,Ben Mendelsohn,exodus: gods and kings,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure Drama
J.J. Abrams,Action Adventure Sci-Fi,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood,star trek,Chris Hemsworth Leonard Nimoy Bruce Greenwood J.J. Abrams Action Adventure Sci-Fi
Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,spider-man,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
Dean DeBlois,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,Djimon Hounsou,America Ferrera,how to train your dragon 2,Gerard Butler Djimon Hounsou America Ferrera Dean DeBlois Action Adventure Animation Comedy Family Fantasy
Alex Proyas,Action Adventure Fantasy,Gerard Butler,Elodie Yung,Bryan Brown,gods of egypt,Gerard Butler Elodie Yung Bryan Brown Alex Proyas Action Adventure Fantasy
Rob Cohen,Action Adventure Sci-Fi Thriller,Sam Shepard,Joe Morton,Richard Roxburgh,stealth,Sam Shepard Joe Morton Richard Roxburgh Rob Cohen Action Adventure Sci-Fi Thriller
Zack Snyder,Action Drama Mystery Sci-Fi,Matt Frewer,Billy Crudup,Stephen McHattie,watchmen,Matt Frewer Billy Crudup Stephen McHattie Zack Snyder Action Drama Mystery Sci-Fi
Richard Donner,Action Crime Thriller,Jet Li,Rene Russo,Darlene Love,lethal weapon 4,Jet Li Rene Russo Darlene Love Richard Donner Action Crime Thriller
Ang Lee,Action Sci-Fi,Kevin Rankin,Regi Davis,Celia Weston,hulk,Kevin Rankin Regi Davis Celia Weston Ang Lee Action Sci-Fi
Jon M. Chu,Action Adventure Sci-Fi Thriller,Channing Tatum,Dwayne Johnson,Elodie Yung,g.i. joe: retaliation,Channing Tatum Dwayne Johnson Elodie Yung Jon M. Chu Action Adventure Sci-Fi Thriller
Breck Eisner,Action Adventure Comedy Thriller,Matthew McConaughey,Rainn Wilson,Delroy Lindo,sahara,Matthew McConaughey Rainn Wilson Delroy Lindo Breck Eisner Action Adventure Comedy Thriller
Hironobu Sakaguchi,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,Ming-Na Wen,Jean Simmons,final fantasy: the spirits within,Steve Buscemi Ming-Na Wen Jean Simmons Hironobu Sakaguchi Action Adventure Animation Fantasy Romance Sci-Fi
Joe Johnston,Action Adventure Sci-Fi,Chris Evans,Dominic Cooper,Hayley Atwell,captain america: the first avenger,Chris Evans Dominic Cooper Hayley Atwell Joe Johnston Action Adventure Sci-Fi
Michael Apted,Action Adventure Thriller,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn,the world is not enough,Colin Salmon Maria Grazia Cucinotta Desmond Llewelyn Michael Apted Action Adventure Thriller
Peter Weir,Action Adventure Drama History War,James D'Arcy,Lee Ingleby,David Threlfall,master and commander: the far side of the world,James D'Arcy Lee Ingleby David Threlfall Peter Weir Action Adventure Drama History War
Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: breaking dawn - part 2,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy Romance
George Miller,Animation Comedy Family Musical,Robin Williams,Brad Pitt,Common,happy feet 2,Robin Williams Brad Pitt Common George Miller Animation Comedy Family Musical
Louis Leterrier,Action Adventure Sci-Fi,Ty Burrell,Peter Mensah,William Hurt,the incredible hulk,Ty Burrell Peter Mensah William Hurt Louis Leterrier Action Adventure Sci-Fi
Not Available,Action Crime Drama Mystery Thriller,Don Johnson,Philip Michael Thomas,John Diehl,miami vice,Don Johnson Philip Michael Thomas John Diehl Not Available Action Crime Drama Mystery Thriller
Steven Spielberg,Adventure Family Fantasy,Mark Rylance,Penelope Wilton,Rafe Spall,the bfg,Mark Rylance Penelope Wilton Rafe Spall Steven Spielberg Adventure Family Fantasy
Alejandro G. Iñárritu,Adventure Drama Thriller Western,Leonardo DiCaprio,Tom Hardy,Lukas Haas,the revenant,Leonardo DiCaprio Tom Hardy Lukas Haas Alejandro G. Iñárritu Adventure Drama Thriller Western
David Soren,Adventure Animation Comedy Family Sport,Ryan Reynolds,Snoop Dogg,Ben Schwartz,turbo,Ryan Reynolds Snoop Dogg Ben Schwartz David Soren Adventure Animation Comedy Family Sport
Gore Verbinski,Adventure Animation Comedy Family Western,Johnny Depp,Ray Winstone,Stephen Root,rango,Johnny Depp Ray Winstone Stephen Root Gore Verbinski Adventure Animation Comedy Family Western
Eric Darnell,Adventure Animation Comedy Family,Benedict Cumberbatch,Annet Mahendru,Andy Richter,penguins of madagascar,Benedict Cumberbatch Annet Mahendru Andy Richter Eric Darnell Adventure Animation Comedy Family
Paul Greengrass,Action Mystery Thriller,Matt Damon,Edgar Ramírez,Albert Finney,the bourne ultimatum,Matt Damon Edgar Ramírez Albert Finney Paul Greengrass Action Mystery Thriller
Mark Osborne,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Wayne Knight,Dan Fogler,kung fu panda,Angelina Jolie Pitt Wayne Knight Dan Fogler Mark Osborne Action Adventure Animation Comedy Family
Peyton Reed,Action Adventure Comedy Sci-Fi,Judy Greer,Hayley Atwell,T.I.,ant-man,Judy Greer Hayley Atwell T.I. Peyton Reed Action Adventure Comedy Sci-Fi
Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty,the hunger games: catching fire,Jennifer Lawrence Josh Hutcherson Sandra Ellis Lafferty Francis Lawrence Adventure Sci-Fi Thriller
Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner,the twilight saga: breaking dawn - part 2,Robert Pattinson Kristen Stewart Taylor Lautner Bill Condon Adventure Drama Fantasy Romance
Tim Johnson,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,Matt Jones,April Winchell,home,Jim Parsons Matt Jones April Winchell Tim Johnson Adventure Animation Comedy Family Fantasy Sci-Fi
Steven Spielberg,Adventure Sci-Fi Thriller,Tom Cruise,Lisa Ann Walter,Rick Gonzalez,war of the worlds,Tom Cruise Lisa Ann Walter Rick Gonzalez Steven Spielberg Adventure Sci-Fi Thriller
Michael Bay,Action Comedy Crime Thriller,Will Smith,Henry Rollins,Jordi Mollà,bad boys ii,Will Smith Henry Rollins Jordi Mollà Michael Bay Action Comedy Crime Thriller
Chris Miller,Action Adventure Animation Comedy Family Fantasy,Salma Hayek,Constance Marie,Amy Sedaris,puss in boots,Salma Hayek Constance Marie Amy Sedaris Chris Miller Action Adventure Animation Comedy Family Fantasy
Phillip Noyce,Action Crime Mystery Thriller,Angelina Jolie Pitt,Andre Braugher,August Diehl,salt,Angelina Jolie Pitt Andre Braugher August Diehl Phillip Noyce Action Crime Mystery Thriller
Darren Aronofsky,Action Adventure Drama,Anthony Hopkins,Emma Watson,Logan Lerman,noah,Anthony Hopkins Emma Watson Logan Lerman Darren Aronofsky Action Adventure Drama
Steven Spielberg,Action Adventure Family Mystery,Toby Jones,Mackenzie Crook,Tony Curran,the adventures of tintin,Toby Jones Mackenzie Crook Tony Curran Steven Spielberg Action Adventure Family Mystery
Alfonso Cuarón,Adventure Family Fantasy Mystery,Daniel Radcliffe,Gary Oldman,Rupert Grint,harry potter and the prisoner of azkaban,Daniel Radcliffe Gary Oldman Rupert Grint Alfonso Cuarón Adventure Family Fantasy Mystery
Baz Luhrmann,Adventure Drama Romance War,Essie Davis,Bryan Brown,Eddie Baroo,australia,Essie Davis Bryan Brown Eddie Baroo Baz Luhrmann Adventure Drama Romance War
M. Night Shyamalan,Action Adventure Sci-Fi,Will Smith,Zoë Kravitz,Glenn Morshower,after earth,Will Smith Zoë Kravitz Glenn Morshower M. Night Shyamalan Action Adventure Sci-Fi
Eric Leighton,Adventure Animation Family Thriller,Alfre Woodard,D.B. Sweeney,Della Reese,dinosaur,Alfre Woodard D.B. Sweeney Della Reese Eric Leighton Adventure Animation Family Thriller
Matt Birch,Action Fantasy,Rupert Grint,Dave Legeno,Ralph Ineson,harry potter and the deathly hallows: part ii,Rupert Grint Dave Legeno Ralph Ineson Matt Birch Action Fantasy
Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,night at the museum: secret of the tomb,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy
Tom McGrath,Action Animation Comedy Family Sci-Fi,J.K. Simmons,Brad Pitt,Will Ferrell,megamind,J.K. Simmons Brad Pitt Will Ferrell Tom McGrath Action Animation Comedy Family Sci-Fi
Chris Columbus,Adventure Family Fantasy,Daniel Radcliffe,Fiona Shaw,Verne Troyer,harry potter and the sorcerer's stone,Daniel Radcliffe Fiona Shaw Verne Troyer Chris Columbus Adventure Family Fantasy
Robert Schwentke,Action Comedy Fantasy,Ryan Reynolds,Jeff Bridges,Stephanie Szostak,r.i.p.d.,Ryan Reynolds Jeff Bridges Stephanie Szostak Robert Schwentke Action Comedy Fantasy
Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,godzilla resurgence,Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Hideaki Anno Action Adventure Drama Horror Sci-Fi
Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: the curse of the black pearl,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
Matt Birch,Fantasy,Rupert Grint,Toby Jones,Alfred Enoch,harry potter and the deathly hallows: part i,Rupert Grint Toby Jones Alfred Enoch Matt Birch Fantasy
Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,the hunger games: mockingjay - part 1,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi Thriller
Ron Howard,Mystery Thriller,Tom Hanks,Seth Gabel,Jürgen Prochnow,the da vinci code,Tom Hanks Seth Gabel Jürgen Prochnow Ron Howard Mystery Thriller
Carlos Saldanha,Adventure Animation Comedy Family Musical,Miguel Ferrer,Rachel Crow,Jeffrey Garcia,rio 2,Miguel Ferrer Rachel Crow Jeffrey Garcia Carlos Saldanha Adventure Animation Comedy Family Musical
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Bruce Davison,Aaron Stanford,x-men 2,Hugh Jackman Bruce Davison Aaron Stanford Bryan Singer Action Adventure Fantasy Sci-Fi Thriller
Justin Lin,Action Crime Thriller,Paul Walker,Vin Diesel,Dwayne Johnson,fast five,Paul Walker Vin Diesel Dwayne Johnson Justin Lin Action Crime Thriller
Guy Ritchie,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,Eddie Marsan,Paul Anderson,sherlock holmes: a game of shadows,Robert Downey Jr. Eddie Marsan Paul Anderson Guy Ritchie Action Adventure Crime Mystery Thriller
Louis Leterrier,Action Adventure Fantasy,Liam Neeson,Jason Flemyng,Alexa Davalos,clash of the titans,Liam Neeson Jason Flemyng Alexa Davalos Louis Leterrier Action Adventure Fantasy
Paul Verhoeven,Action Sci-Fi,Ronny Cox,Rachel Ticotin,Marshall Bell,total recall,Ronny Cox Rachel Ticotin Marshall Bell Paul Verhoeven Action Sci-Fi
John McTiernan,Action Adventure History,Tony Curran,Vladimir Kulich,Clive Russell,the 13th warrior,Tony Curran Vladimir Kulich Clive Russell John McTiernan Action Adventure History
Tony Gilroy,Action Adventure Thriller,Jeremy Renner,Scott Glenn,Stacy Keach,the bourne legacy,Jeremy Renner Scott Glenn Stacy Keach Tony Gilroy Action Adventure Thriller
Joel Schumacher,Action,Michael Gough,Vivica A. Fox,John Glover,batman & robin,Michael Gough Vivica A. Fox John Glover Joel Schumacher Action
Ron Howard,Comedy Family Fantasy,Clint Howard,T.J. Thyne,Molly Shannon,how the grinch stole christmas,Clint Howard T.J. Thyne Molly Shannon Ron Howard Comedy Family Fantasy
Roland Emmerich,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal,Dennis Quaid,Sela Ward,the day after tomorrow,Jake Gyllenhaal Dennis Quaid Sela Ward Roland Emmerich Action Adventure Sci-Fi Thriller
John Woo,Action Adventure Thriller,Tom Cruise,Dougray Scott,Richard Roxburgh,mission: impossible ii,Tom Cruise Dougray Scott Richard Roxburgh John Woo Action Adventure Thriller
Wolfgang Petersen,Action Adventure Drama Thriller,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,the perfect storm,Karen Allen Mary Elizabeth Mastrantonio Bob Gunton Wolfgang Petersen Action Adventure Drama Thriller
Tim Story,Action Adventure Sci-Fi Thriller,Chris Evans,Ioan Gruffudd,Andre Braugher,fantastic 4: rise of the silver surfer,Chris Evans Ioan Gruffudd Andre Braugher Tim Story Action Adventure Sci-Fi Thriller
Ang Lee,Adventure Drama Fantasy,Suraj Sharma,Rafe Spall,Tabu,life of pi,Suraj Sharma Rafe Spall Tabu Ang Lee Adventure Drama Fantasy
Mark Steven Johnson,Action Fantasy Thriller,Nicolas Cage,Matt Long,Peter Fonda,ghost rider,Nicolas Cage Matt Long Peter Fonda Mark Steven Johnson Action Fantasy Thriller
Paul Greengrass,Action Thriller,Matt Damon,Riz Ahmed,Ato Essandoh,jason bourne,Matt Damon Riz Ahmed Ato Essandoh Paul Greengrass Action Thriller
McG,Action Adventure Comedy Crime,Demi Moore,Bernie Mac,Justin Theroux,charlie's angels: full throttle,Demi Moore Bernie Mac Justin Theroux McG Action Adventure Comedy Crime
Ridley Scott,Adventure Mystery Sci-Fi,Michael Fassbender,Charlize Theron,Sean Harris,prometheus,Michael Fassbender Charlize Theron Sean Harris Ridley Scott Adventure Mystery Sci-Fi
Rob Minkoff,Adventure Animation Comedy Family Fantasy,Nathan Lane,Brad Garrett,Melanie Griffith,stuart little 2,Nathan Lane Brad Garrett Melanie Griffith Rob Minkoff Adventure Animation Comedy Family Fantasy
Neill Blomkamp,Action Drama Sci-Fi Thriller,Matt Damon,Sharlto Copley,Alice Braga,elysium,Matt Damon Sharlto Copley Alice Braga Neill Blomkamp Action Drama Sci-Fi Thriller
David Twohy,Action Adventure Sci-Fi Thriller,Vin Diesel,Alexa Davalos,Christina Cox,the chronicles of riddick,Vin Diesel Alexa Davalos Christina Cox David Twohy Action Adventure Sci-Fi Thriller
José Padilha,Action Crime Sci-Fi Thriller,Gary Oldman,Abbie Cornish,Jennifer Ehle,robocop,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha Action Crime Sci-Fi Thriller
Lana Wachowski,Action Family Sport,Scott Porter,Kick Gurry,Nicholas Elia,speed racer,Scott Porter Kick Gurry Nicholas Elia Lana Wachowski Action Family Sport
James L. Brooks,Comedy Drama Romance,Shelley Conn,Domenick Lombardozzi,Teyonah Parris,how do you know,Shelley Conn Domenick Lombardozzi Teyonah Parris James L. Brooks Comedy Drama Romance
James Mangold,Action Comedy Romance,Tom Cruise,Marc Blucas,Jordi Mollà,knight and day,Tom Cruise Marc Blucas Jordi Mollà James Mangold Action Comedy Romance
Joseph Kosinski,Action Adventure Mystery Sci-Fi,Morgan Freeman,Tom Cruise,Zoë Bell,oblivion,Morgan Freeman Tom Cruise Zoë Bell Joseph Kosinski Action Adventure Mystery Sci-Fi
