title,cast_and_crew,genre
Secret Society of Second-Born Royals,"Anna Mastro (director); Alex Litvak, Andrew Green (screenplay); Peyton Elizabeth Lee, Skylar Astin, Élodie Yung","Action, Adventure, Comedy"
She's in Portland,"Marc Carlini (director/screenplay); Patrick Alexander (screenplay); Tommy Dewey, François Arnaud, Minka Kelly","Comedy, Drama"
Sightless,"Cooper Karl (director/screenplay); Madelaine Petsch, Alexander Koch","Drama, Thriller"
The Boys in the Band,"Joe Mantello (director); Mart Crowley (screenplay); Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesus, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",Drama
The Glorias,"Julie Taymor (director/screenplay); Sarah Ruhl (screenplay); Julianne Moore, Alicia Vikander, Timothy Hutton, Lorraine Toussaint, Janelle Monáe, Bette Midler","Biography, Drama, History"
On the Rocks,"Sofia Coppola (director/screenplay); Rashida Jones, Bill Murray, Marlon Wayans, Jessica Henwick, Jenny Slate","Comedy, Drama, Romance"
Spontaneous,"Brian Duffield (director/screenplay); Katherine Langford, Charlie Plummer, Hayley Law, Piper Perabo, Rob Huebel, Yvonne Orji","Comedy, Horror, Romance"
Vampires vs. the Bronx,"Osmany Rodriguez (director/screenplay); Blaise Hemingway (screenplay); Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Coco Jones, The Kid Mero, Method Man, Chris Redd, Shea Whigham","Comedy, Horror"
Possessor,"Brandon Cronenberg (director/screenplay); Andrea Riseborough, Christopher Abbott, Rossif Sutherland, Tuppence Middleton, Sean Bean, Jennifer Jason Leigh","Horror, Mystery, Sci-Fi"
Death of Me,"Darren Lynn Bousman (director); Arli Margolis, James Morley III, David Tish (screenplay); Maggie Q, Alex Essoe, Luke Hemsworth","Horror, Mystery, Thriller"
The Call,"Timothy Woodward Jr. (director); Patrick Stibbs (screenplay); Lin Shaye, Tobin Bell","Horror, Thriller"
Black Box,"Emmanuel Osei-Kuffour Jr. (director/screenplay);  Stephen Herman (screenplay); Mamoudou Athie, Phylicia Rashad","Horror, Mystery, Sci-Fi"
Black Box,"Emmanuel Osei-Kuffour Jr. (director/screenplay);  Stephen Herman (screenplay); Mamoudou Athie, Phylicia Rashad","Sci-Fi, Thriller"
Hubie Halloween,"Steven Brill (director); Adam Sandler, Tim Herlihy (screenplay); Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Rob Schneider, June Squibb, Kenan Thompson, Shaquille O'Neal, Steve Buscemi, Maya Rudolph","Comedy, Mystery"
Books of Blood,"Brannon Braga (director/screenplay); Adam Simon (screenplay); Britt Robertson, Anna Friel, Rafi Gavron, Yul Vazquez","Drama, Horror, Mystery"
The War with Grandpa,"Tim Hill (director); Tom J. Astle, Matt Ember (screenplay); Robert De Niro, Uma Thurman, Rob Riggle, Oakes Fegley, Cheech Marin, Jane Seymour, Christopher Walken","Comedy, Drama, Family"
Nocturne,"Zu Quirke (director/screenplay); Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw","Drama, Horror, Music"
Evil Eye,"Elan Dassani, Rajeev Dassani (directors); Madhuri Shekar (screenplay); Sarita Choudhury, Sunita Mani, Omar Maskati, Bernard White","Horror, Mystery, Thriller"
A Babysitter's Guide to Monster Hunting,"Rachel Talalay (director); Joe Ballarini (screenplay); Tamara Smart, Oona Laurence, Tom Felton, Indya Moore","Comedy, Family, Fantasy"
Love and Monsters,"Michael Matthews (director); Matthew Robinson, Brian Duffield (screenplay); Dylan O'Brien, Jessica Henwick, Dan Ewing, Ariana Greenblatt, Michael Rooker","Action, Adventure, Comedy"
Love and Monsters,"Michael Matthews (director); Matthew Robinson, Brian Duffield (screenplay); Dylan O'Brien, Jessica Henwick, Dan Ewing, Ariana Greenblatt, Michael Rooker",Comedy
Honest Thief,"Mark Williams (director/screenplay); Steve Allrich (screenplay); Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney","Action, Crime, Drama"
Clouds,"Justin Baldoni (director); Kara Holden (screenplay); Fin Argus, Sabrina Carpenter, Madison Iseman, Lil Rel Howery, Neve Campbell, Tom Everett Scott","Biography, Drama, Music"
The Kid Detective,"Evan Morgan (director/screenplay); Adam Brody, Sophie Nélisse, Tzi Ma, Wendy Crewson, Sarah Sutherland","Comedy, Drama, Mystery"
Alone,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland","Drama, Horror, Mystery"
Alone,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland","Horror, Thriller"
Alone,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland",Thriller
Alone,"Johnny Martin (director); Matt Naylor (screenplay); Tyler Posey, Summer Spiro, Robert Ri'chard, Donald Sutherland",Thriller
2 Hearts,"Lance Hool (director); Veronica Hool, Robin U. Russin (screenplay); Jacob Elordi, Adan Canto, Tiera Skovbye, Radha Mitchell","Drama, Romance"
The Opening Act,"Steve Byrne (director/screenplay); Jimmy O. Yang, Alex Moffat, Cedric the Entertainer",Comedy
The Witches,"Robert Zemeckis (director/screenplay); Kenya Barris, Guillermo del Toro (screenplay); Anne Hathaway, Octavia Spencer, Stanley Tucci, Jahzir Bruno, Codie-Lei Eastick, Kristin Chenoweth, Chris Rock","Adventure, Comedy, Family"
Over the Moon,"Glen Keane (director); Audrey Wells (screenplay); Cathy Ang, Phillipa Soo, Ken Jeong, John Cho, Ruthie Ann Miles, Margaret Cho, Sandra Oh","Animation, Adventure, Comedy"
After We Collided,"Roger Kumble (director); Anna Todd, Mario Celaya (screenplay); Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Shane Paul McGhie, Candice King, Khadijha Red Thunder, Inanna Sarkis, Samuel Larsen, Selma Blair","Drama, Romance"
The Empty Man,"David Prior (director/screenplay); James Badge Dale, Marin Ireland, Stephen Root, Ron Canada, Robert Aramayo, Joel Courtney, Sasha Frolova","Horror, Mystery, Thriller"
Children of the Corn,"Kurt Wimmer (director/screenplay); Elena Kampouris, Kate Moyer, Callan Mulvey, Bruce Spence",Horror
Bad Hair,"Justin Simien (director/screenplay); Elle Lorraine, Vanessa Williams, Jay Pharoah, Lena Waithe, Blair Underwood, Laverne Cox","Comedy, Horror, Music"
Friendsgiving,"Nicol Paone (director/screenplay); Malin Åkerman, Kat Dennings, Aisha Tyler, Chelsea Peretti, Ryan Hansen","Comedy, Drama"
The Craft: Legacy,"Zoe Lister-Jones (director/screenplay); Cailee Spaeny, Gideon Adlon, Lovie Simone, Zoey Luna, Michelle Monaghan, David Duchovny","Drama, Fantasy, Horror"
Holidate,"John Whitesell (director); Tiffany Paulsen (screenplay); Emma Roberts, Luke Bracey, Kristin Chenoweth","Comedy, Romance"
Come Play,"Jacob Chase (director/screenplay); Gillian Jacobs, John Gallagher Jr., Azhy Robertson, Winslow Fegley","Drama, Horror, Mystery"
His House,"Remi Weekes (director/screenplay); Wunmi Mosaku. Sope Dirisu, Matt Smith","Drama, Horror, Thriller"
Spell,"Mark Tonderai (director); Kurt Wimmer (screenplay); Omari Hardwick, Loretta Devine","Horror, Thriller"
Let Him Go,"Thomas Bezucha (director/screenplay); Diane Lane, Kevin Costner, Lesley Manville, Will Brittain, Jeffrey Donovan","Crime, Drama, Thriller"
The Dark and the Wicked,"Bryan Bertino (director/screenplay); Marin Ireland, Michael Abbott Jr., Xander Berkeley",Horror
Hillbilly Elegy,"Ron Howard (director); Vanessa Taylor (screenplay); Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",Drama
Mank,"David Fincher (director); Jack Fincher (screenplay); Gary Oldman, Amanda Seyfried, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann, Charles Dance","Biography, Comedy, Drama"
Freaky,"Christopher Landon (director/screenplay); Michael Kennedy (screenplay); Vince Vaughn, Kathryn Newton, Katie Finneran, Celeste O'Connor, Misha Osherovich, Alan Ruck","Comedy, Horror, Thriller"
Jingle Jangle: A Christmas Journey,"David E. Talbert (director/screenplay); Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, Madalen Mills, Phylicia Rashad, Ricky Martin","Family, Fantasy, Musical"
Fatman,"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste","Fantasy, Thriller"
Chick Fight,"Paul Leyden (director); Joseph Downey (screenplay); Malin Åkerman, Bella Thorne, Fortune Feimster, Alec Baldwin","Action, Comedy, Drama"
The Princess Switch: Switched Again,"Michael Rohl (director); Robin Bernheim, Megan Metzger (screenplay); Vanessa Hudgens, Sam Palladio, Nick Sagar","Comedy, Drama, Family"
Run,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); Sarah Paulson, Kiera Allen, Pat Healy, Sara Sohn","Mystery, Thriller"
Run,"Aneesh Chaganty (director/screenplay); Sev Ohanian (screenplay); Sarah Paulson, Kiera Allen, Pat Healy, Sara Sohn","Mystery, Thriller"
Jiu Jitsu,"Dimitri Logothetis (director/screenplay); James McGrath (screenplay); Alain Moussi, Frank Grillo, JuJu Chan, Tony Jaa, Nicolas Cage","Action, Sci-Fi, Thriller"
The Croods: A New Age,"Joel Crawford (director); Kevin Hageman, Dan Hageman, Paul Fisher, Bob Logan (screenplay); Nicolas Cage, Emma Stone, Ryan Reynolds, Peter Dinklage, Leslie Mann, Kelly Marie Tran, Catherine Keener, Clark Duke, Cloris Leachman","Animation, Adventure, Comedy"
Happiest Season,"Clea DuVall (director/screenplay); Mary Holland (screenplay); Kristen Stewart, Mackenzie Davis, Alison Brie, Aubrey Plaza, Dan Levy, Mary Holland, Victor Garber, Mary Steenburgen","Comedy, Drama, Romance"
Ma Rainey's Black Bottom,"George C. Wolfe (director); Ruben Santiago-Hudson (screenplay); Viola Davis, Chadwick Boseman, Glynn Turman, Colman Domingo, Michael Potts, Jeremy Shamos, Taylour Paige, Dusan Brown, Jonny Coyne","Drama, Music"
Uncle Frank,"Alan Ball (director/screenplay); Paul Bettany, Sophia Lillis, Peter Macdissi, Judy Greer, Steve Zahn, Lois Smith, Margo Martindale, Stephen Root","Comedy, Drama"
Superintelligence,"Ben Falcone (director); Steve Mallory (screenplay); Melissa McCarthy, Bobby Cannavale, Brian Tyree Henry, Jean Smart, James Corden","Comedy, Romance, Sci-Fi"
Life in a Year,"Mitja Okorn (director); Jeffrey Addiss, Will Matthews (screenplay); Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Nia Long","Drama, Romance"
Black Beauty,"Ashley Avis (director/screenplay); Mackenzie Foy, Kate Winslet, Claire Forlani, Fern Deacon, Iain Glen","Drama, Family"
The Prom,"Ryan Murphy (director); Chad Beguelin, Bob Martin (screenplay); Meryl Streep, James Corden, Jo Ellen Pellman, Nicole Kidman, Keegan-Michael Key, Andrew Rannells, Ariana DeBose, Kerry Washington","Comedy, Drama, Musical"
All My Life,"Marc Meyers (director); Todd Rosenberg (screenplay); Jessica Rothe, Harry Shum Jr., Kyle Allen, Chrissie Fit, Jay Pharoah, Marielle Scott, Keala Settle","Drama, Romance"
Godmothered,"Sharon Maguire (director); Kari Granlund, Melissa Stack (screenplay); Isla Fisher, Jillian Bell, Santiago Cabrera","Comedy, Drama, Family"
Half Brothers,"Luke Greenfield (director); Eduardo Cisneros, Jason Shuman (screenplay); Luis Gerardo Méndez, Connor Del Rio","Comedy, Drama"
Wander,"April Mullen (director); Tim Doiron (screenplay); Aaron Eckhart, Katheryn Winnick, Heather Graham, Roger Dorman, Tommy Lee Jones",Thriller
Black Bear,"Lawrence Michael Levine (director/screenplay); Aubrey Plaza, Christopher Abbott, Sarah Gadon","Comedy, Drama"
Let Them All Talk,"Steven Soderbergh (director); Deborah Eisenberg (screenplay); Meryl Streep, Candice Bergen, Gemma Chan, Lucas Hedges, Dianne Wiest","Comedy, Drama"
The Midnight Sky,"George Clooney (director); Mark L. Smith (screenplay); George Clooney, Felicity Jones, David Oyelowo, Tiffany Boone, Demián Bichir, Kyle Chandler, Caoilinn Springall","Adventure, Drama, Fantasy"
Songbird,"Adam Mason (director/screenplay); Simon Boyes (screenplay); KJ Apa, Sofia Carson, Craig Robinson, Bradley Whitford, Peter Stormare, Alexandra Daddario, Paul Walter Hauser, Demi Moore","Drama, Sci-Fi, Thriller"
Wild Mountain Thyme,"John Patrick Shanley (director/screenplay); Emily Blunt, Jamie Dornan, Jon Hamm, Dearbhla Molloy, Christopher Walken","Comedy, Drama, Romance"
Safety,"Reginald Hudlin (director); Nick Santora (screenplay); Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale","Biography, Drama, Sport"
Wander Darkly,"Tara Miele (director/screenplay); Sienna Miller, Diego Luna, Beth Grant, Aimee Carrero, Tory Kittles, Vanessa Bayer",Drama
I'm Your Woman,"Julia Hart (director/screenplay); Jordan Horowitz (screenplay); Rachel Brosnahan, Arinzé Kene, Marsha Stephanie Blake, Bill Heck, Frankie Faison","Crime, Drama"
The Stand In,"Jamie Babbit (director); Sam Bain (screenplay); Drew Barrymore, Michael Zegen, T.J. Miller, Holland Taylor","Comedy, Drama"
Archenemy,"Adam Egypt Mortimer (director/screenplay); Joe Manganiello, Skylan Brooks, Zolee Griggs, Paul Scheer, Amy Seimetz, Glenn Howerton","Action, Adventure, Crime"
Farewell Amor,"Ekwa Msangi (director/screenplay); Ntare Mwine, Zainab Jah, Jayme Lawson, Joie Lee","Drama, Music, Romance"
Monster Hunter,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Tony Jaa, Tip ""T.I."" Harris, Meagan Good, Diego Boneta, Josh Helman, Jin Au-Yeung, Ron Perlman","Action, Adventure, Fantasy"
Monster Hunter,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Tony Jaa, Tip ""T.I."" Harris, Meagan Good, Diego Boneta, Josh Helman, Jin Au-Yeung, Ron Perlman",Action
Greenland,"Ric Roman Waugh (director); Chris Sparling (screenplay); Gerard Butler, Morena Baccarin, David Denman, Hope Davis, Roger Dale Floyd, Andrew Bachelor, Merrin Dungey, Holt McCallany, Scott Glenn","Action, Drama, Thriller"
Fatale,"Deon Taylor (director); David Loughery (screenplay); Hilary Swank, Michael Ealy, Mike Colter, Geoffrey Owens, Denise Dowse","Crime, Thriller"
Skylines,"Liam O'Donnell (director/screenplay); Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra, James Cosmo, Alexander Siddig","Action, Adventure, Sci-Fi"
Hunter Hunter,"Shawn Linden (director/screenplay); Devon Sawa, Camille Sullivan, Nick Stahl, Summer H. Howell","Drama, Horror, Mystery"
Sylvie's Love,"Eugene Ashe (director/screenplay); Tessa Thompson, Nnamdi Asomugha, Ryan Michelle Bathe, Aja Naomi King, Eva Longoria","Drama, Music, Romance"
Wonder Woman 1984,"Patty Jenkins (director/screenplay); Geoff Johns, David Callaham (screenplay); Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright, Connie Nielsen","Action, Adventure, Fantasy"
Soul,"Pete Docter (director/screenplay); Mike Jones, Kemp Powers (screenplay); Jamie Foxx, Tina Fey, Graham Norton, Rachel House, Alice Braga, Richard Ayoade, Phylicia Rashad, Donnell Rawlings, Questlove, Angela Bassett","Animation, Adventure, Comedy"
We Can Be Heroes,"Robert Rodriguez (director/screenplay); Priyanka Chopra Jonas, Pedro Pascal, YaYa Gosselin, Boyd Holbrook, Adriana Barraza, Haley Reinhart, Sung Kang, Taylor Dooley, Christian Slater","Action, Comedy, Drama"
News of the World,"Paul Greengrass (director/screenplay); Luke Davies (screenplay); Tom Hanks, Helena Zengel","Action, Adventure, Drama"
One Night in Miami...,"Regina King (director); Kemp Powers (screenplay); Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr., Lance Reddick, Joaquina Kalukango, Nicolette Robinson, Beau Bridges, Lance Reddick",Drama
Promising Young Woman,"Emerald Fennell (director/screenplay); Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Jennifer Coolidge, Laverne Cox, Connie Britton","Crime, Drama, Mystery"
Pieces of a Woman,"Kornél Mundruczó (director); Kata Wéber (screenplay); Vanessa Kirby, Shia LaBeouf, Molly Parker, Sarah Snook, Iliza Shlesinger, Benny Safdie, Jimmie Fails, Ellen Burstyn",Drama
The White Tiger,"Ramin Bahrani (director/screenplay); Adarsh Gourav, Rajkummar Rao, Priyanka Chopra Jonas","Crime, Drama"
Locked Down,"Doug Liman (director); Steven Knight (screenplay); Anne Hathaway, Chiwetel Ejiofor, Stephen Merchant, Mindy Kaling, Lucy Boynton, Dulé Hill, Jazmyn Simon, Mark Gatiss, Claes Bang, Ben Stiller, Ben Kingsley","Comedy, Crime, Romance"
Locked Down,"Doug Liman (director); Steven Knight (screenplay); Anne Hathaway, Chiwetel Ejiofor, Stephen Merchant, Mindy Kaling, Lucy Boynton, Dulé Hill, Jazmyn Simon, Mark Gatiss, Claes Bang, Ben Stiller, Ben Kingsley",Action
The Dig,"Simon Stone (director); Moira Buffini (screenplay); Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn, Ben Chaplin, Ken Stott, Archie Barnes, Monica Dolan","Biography, Drama, History"
Outside the Wire,"Mikael Håfström (director); Rob Yescombe, Rowan Athale (screenplay); Anthony Mackie, Damson Idris, Emily Beecham, Michael Kelly, Pilou Asbæk","Action, Adventure, Fantasy"
The Marksman,"Robert Lorenz (director/screenplay); Chris Charles, Danny Kravitz (screenplay); Liam Neeson, Katheryn Winnick, Juan Pablo Raba, Teresa Ruiz","Action, Adventure, Thriller"
The Ultimate Playlist of Noise,"Bennett Lasseter (director); Mitchell Winkie (screenplay); Keean Johnson, Madeline Brewer, Rya Kihlstedt, Ian Gomez, Bonnie Hunt","Comedy, Drama, Music"
No Man's Land,"Conor Allyn (director); Jake Allyn, David Barraza (screenplay); Jake Allyn, Frank Grillo, Jorge A. Jiménez, Andie MacDowell, George Lopez","Crime, Drama, Thriller"
No Man's Land,"Conor Allyn (director); Jake Allyn, David Barraza (screenplay); Jake Allyn, Frank Grillo, Jorge A. Jiménez, Andie MacDowell, George Lopez",Thriller
No Man's Land,"Conor Allyn (director); Jake Allyn, David Barraza (screenplay); Jake Allyn, Frank Grillo, Jorge A. Jiménez, Andie MacDowell, George Lopez",Drama
Born a Champion,"Alex Ranarivelo (director/screenplay); Sean Patrick Flanery (screenplay); Sean Patrick Flanery, Dennis Quaid, Katrina Bowden","Action, Drama, Sport"
Wrong Turn,"Mike P. Nelson (director); Alan B. McElroy (screenplay); Charlotte Vega, Adain Bradley, Bill Sage, Emma Dumont, Dylan McTee, Daisy Head, Matthew Modine","Horror, Thriller"
The Little Things,"John Lee Hancock (director/screenplay); Denzel Washington, Rami Malek, Jared Leto, Chris Bauer, Michael Hyatt, Terry Kinney, Natalie Morales","Crime, Drama, Mystery"
Malcolm & Marie,"Sam Levinson (director/screenplay); Zendaya, John David Washington","Drama, Romance"
Palmer,"Fisher Stevens (director) Cheryl Guerriero (screenplay); Justin Timberlake, Juno Temple, Alisha Wainwright, June Squibb, Ryder Allen",Drama
Bliss,"Mike Cahill (director/screenplay); Owen Wilson, Salma Hayek","Drama, Romance"
Music,"Sia (director/screenplay); Dallas Clayton (screenplay); Kate Hudson, Leslie Odom Jr., Maddie Ziegler","Drama, Musical"
Judas and the Black Messiah,"Shaka King (director/screenplay); Will Berson (screenplay); Daniel Kaluuya, Lakeith Stanfield, Jesse Plemons, Dominique Fishback, Ashton Sanders, Darrell Britt-Gibson, Lil Rel Howery, Algee Smith, Dominique Thorne, Martin Sheen","Biography, Drama, History"
The Mauritanian,"Kevin Macdonald (director); M.B. Traven, Rory Haines, Sohrab Noshirvani (screenplay); Jodie Foster, Tahar Rahim, Shailene Woodley, Zachary Levi, Benedict Cumberbatch","Drama, Thriller"
Breaking News in Yuba County,"Tate Taylor (director); Amanda Idoko (screenplay); Allison Janney, Mila Kunis, Awkwafina, Regina Hall, Wanda Sykes, Juliette Lewis, Samira Wiley, Matthew Modine, Ellen Barkin","Comedy, Crime, Drama"
Barb and Star Go to Vista Del Mar,"Josh Greenbaum (director); Annie Mumolo, Kristen Wiig (screenplay); Kristen Wiig, Annie Mumolo, Jamie Dornan, Wendi McLendon-Covey, Damon Wayans Jr.",Comedy
To All the Boys: Always and Forever,"Michael Fimognari (director); Katie Lovejoy (screenplay); Lana Condor, Noah Centineo, Jordan Fisher, Holland Taylor, Sarayu Blue, John Corbett","Comedy, Drama, Romance"
Land,"Robin Wright (director); Jesse Chatham, Erin Dignam (screenplay); Robin Wright, Demián Bichir, Kim Dickens","Adventure, Drama"
Willy's Wonderland,"Kevin Lewis (director); G.O. Parsons (screenplay); Nicolas Cage, Emily Tosta, Ric Reitz, Beth Grant","Action, Comedy, Horror"
The Map of Tiny Perfect Things,"Ian Samuels (director); Lev Grossman (screenplay); Kathryn Newton, Kyle Allen, Al Madrigal","Comedy, Fantasy, Romance"
Fear of Rain,"Castille Landon (director/screenplay); Katherine Heigl, Madison Iseman, Israel Broussard, Harry Connick Jr.","Drama, Horror, Thriller"
Flora & Ulysses,"Lena Khan (director); Brad Copeland (screenplay); Matilda Lawler, Alyson Hannigan, Ben Schwartz, Anna Deveare Smith, Danny Pudi, Benjamin Evan Ainsworth, Janeane Garofalo, Kate Micucci","Adventure, Comedy, Family"
Silk Road,"Tiller Russell (director/screenplay); Jason Clarke, Nick Robinson, Katie Aselton, Jimmi Simpson, Daniel David Stewart, Darrell Britt-Gibson, Lexi Rabe, Will Ropp, Paul Walter Hauser, Alexandra Shipp","Crime, Drama, Thriller"
Tom & Jerry,"Tim Story (director); Kevin Costello (screenplay); Chloë Grace Moretz, Michael Peña, Colin Jost, Rob Delaney, Pallavi Sharda, Jordan Bolger, Patsy Ferran, Nicky Jam, Bobby Cannavale, Lil Rel Howery, Ken Jeong","Animation, Adventure, Comedy"
The United States vs. Billie Holiday,"Lee Daniels (director); Suzan-Lori Parks (screenplay); Andra Day, Trevante Rhodes, Garrett Hedlund, Leslie Jordan, Miss Lawrence, Adriane Lenox, Natasha Lyonne, Rob Morgan, Da'Vine Joy Randolph, Evan Ross, Tyler James Williams","Biography, Drama, Music"
Cherry,"Anthony and Joe Russo (directors); Angela Russo-Otstot, Jessica Goldberg (screenplay); Tom Holland, Ciara Bravo, Jack Reynor, Michael Rispoli, Jeff Wahlberg","Crime, Drama"
Crisis,"Nicholas Jarecki (director/screenplay); Gary Oldman, Armie Hammer, Evangeline Lilly, Greg Kinnear, Michelle Rodriguez, Luke Evans, Lily-Rose Depp, Scott Mescudi, Martin Donovan","Drama, Thriller"
Moxie,"Amy Poehler (director); Tamara Chestna, Dylan Meyer (screenplay); Hadley Robinson, Lauren Tsai, Patrick Schwarzenegger, Hico Hiraga, Sydney Park, Josephine Langford, Clark Gregg, Ike Barinholtz, Amy Poehler, Marcia Gay Harden","Comedy, Drama, Music"
Coming 2 America,"Craig Brewer (director); Kenya Barris, Barry W. Blaustein, David Sheffield (screenplay); Eddie Murphy, Arsenio Hall, Jermaine Fowler, Leslie Jones, Tracy Morgan, KiKi Layne, Shari Headley, Teyana Taylor, Wesley Snipes, James Earl Jones",Comedy
Raya and the Last Dragon,"Don Hall, Carlos López Estrada (directors); Qui Nguyen, Adele Lim (screenplay); Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong, Sandra Oh, Thalia Tran, Lucille Soong, Alan Tudyk","Animation, Action, Adventure"
Chaos Walking,"Doug Liman (director); Patrick Ness, Christopher Ford (screenplay); Daisy Ridley, Tom Holland, Mads Mikkelsen, Demián Bichir, Cynthia Erivo, Nick Jonas, Ray McKinnon, Kurt Sutter, David Oyelowo","Action, Adventure, Fantasy"
Boogie,"Eddie Huang (director/screenplay); Taylor Takahashi, Taylour Paige, Jorge Lendeborg Jr., Bashar ""Pop Smoke"" Jackson","Drama, Sport"
Yes Day,"Miguel Arteta (director); Justin Malen (screenplay); Jennifer Garner, Édgar Ramírez, Jenna Ortega","Comedy, Family"
Long Weekend,"Steve Basilone (director/screenplay); Finn Wittrock, Zoë Chao, Casey Wilson, Jim Rash, Damon Wayans Jr.","Comedy, Romance"
Cosmic Sin,"Edward Drake (director/screenplay); Corey Large (screenplay); Bruce Willis, Frank Grillo, Brandon Thomas Lee, C.J. Perry","Action, Adventure, Sci-Fi"
Trust,"Brian DeCubellis (director/screenplay); Kristen Lazarian, K.S. Bruce (screenplay); Victoria Justice, Matthew Daddario, Katherine McNamara, Lucien Laviscount, Ronny Chieng, Lindsey Broad","Drama, Romance, Thriller"
Trust,"Brian DeCubellis (director/screenplay); Kristen Lazarian, K.S. Bruce (screenplay); Victoria Justice, Matthew Daddario, Katherine McNamara, Lucien Laviscount, Ronny Chieng, Lindsey Broad",Animation
Zack Snyder's Justice League,"Zack Snyder (director); Chris Terrio (screenplay); Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot, Ray Fisher, Jason Momoa, Ezra Miller, Willem Dafoe, Jesse Eisenberg, Jeremy Irons, Diane Lane, Connie Nielsen, J. K. Simmons, Ciarán Hinds","Action, Adventure, Fantasy"
Happily,"BenDavid Grabinski (director/screenplay); Joel McHale, Kerry Bishé, Stephen Root","Comedy, Crime, Romance"
Nobody,"Ilya Naishuller (director); Derek Kolstad (screenplay); Bob Odenkirk, Connie Nielsen, Aleksei Serebryakov, RZA, Michael Ironside, Colin Salmon, Christopher Lloyd","Action, Crime, Drama"
Bad Trip,"Kitao Sakurai (director/screenplay); Dan Curry, Eric André (screenplay); Eric André, Lil Rel Howery, Tiffany Haddish",Comedy
The Seventh Day,"Justin P. Lange (director/screenplay); Guy Pearce, Vadhir Derbez, Stephen Lang, Keith David, Robin Bartlett","Horror, Mystery"
Senior Moment,"Giorgio Serafini (director); Kurt Brungardt, Christopher Momenee (screenplay); William Shatner, Jean Smart, Christopher Lloyd","Comedy, Drama, Romance"
Godzilla vs. Kong,"Adam Wingard (director); Eric Pearson, Max Borenstein (screenplay); Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry, Shun Oguri, Eiza González, Julian Dennison, Lance Reddick, Kyle Chandler, Demián Bichir","Action, Sci-Fi, Thriller"
The Unholy,"Evan Spiliotopoulos (director/screenplay); Jeffrey Dean Morgan, Katie Aselton, William Sadler, Cricket Brown, Diogo Morgado, Cary Elwes","Drama, Horror, Mystery"
The Girl Who Believes in Miracles,"Richard Correll (director/screenplay); G.M. Mercier (screenplay); Mira Sorvino, Austyn Johnson, Kevin Sorbo, Peter Coyote","Drama, Family"
The Believer,"Shan Serafin (director/screenplay); Aidan Bristow, Sophie Kargman, Susan Wilder, Lindsay Ginter, Robbie Goldstein, Billy Zane",Comedy
Dawn of the Beast,"Bruce Wemple (director); Anna Shields (screenplay); Francesca Anderson, Adrián Burke, Chris Cimperman, Ariella Mastroianni, Roger Mayer","Horror, Mystery"
Voyagers,"Neil Burger (director/screenplay); Tye Sheridan, Lily-Rose Depp, Fionn Whitehead, Colin Farrell, Chanté Adams, Isaac Hempstead Wright, Viveik Kalra, Archie Madekwe, Quintessa Swindell","Adventure, Sci-Fi, Thriller"
Thunder Force,"Ben Falcone (director/screenplay); Melissa McCarthy, Octavia Spencer, Bobby Cannavale, Pom Klementieff, Taylor Mosby, Melissa Leo, Jason Bateman","Action, Adventure, Comedy"
